# time dt fps
0.22 100 10
0.4989513 89.78644 11.13754
0.7754455 100 10
1.042194 86.66154 11.53914
1.258453 20.28704 49.29256
1.461372 19.6242 50.95748
1.676996 19.16374 52.18188
1.885708 16.66966 59.98923
2.085863 18.62924 53.67907
2.297914 19.84241 50.39712
2.514717 19.61431 50.98318
2.722221 16.76825 59.63653
2.933774 19.90073 50.2494
3.145858 18.68578 53.51664
3.361673 19.3035 51.80408
3.570614 16.75872 59.67043
3.78168 19.0262 52.55912
3.989823 19.33082 51.73087
4.201905 19.8676 50.33321
4.414219 19.06846 52.44263
4.617604 19.16681 52.17351
4.82934 19.57243 51.09228
5.038845 16.87724 59.25138
5.249527 19.33778 51.71223
5.458561 16.71843 59.81424
5.66958 18.72298 53.4103
5.882978 23.90445 41.83322
6.101152 19.42763 51.47308
6.309732 19.94741 50.13183
6.522393 19.82691 50.43651
6.734316 20.67278 48.37278
6.938758 16.80545 59.50449
7.150147 20.45925 48.87765
7.358012 19.85781 50.35803
7.566035 18.01448 55.51088
7.774267 17.13918 58.34585
7.98264 19.03183 52.54356
8.190005 16.78317 59.5835
8.401291 19.26314 51.91263
8.610267 20.25341 49.3744
8.817396 19.1611 52.18907
9.021993 16.67196 59.98093
9.230292 21.26774 47.01958
9.438218 18.27842 54.70934
9.646445 16.78848 59.56464
9.854535 17.47944 57.21007
10.0621 17.09903 58.48286
10.27027 19.68711 50.79465
10.47147 29.61945 33.7616
10.67388 19.0507 52.49151
10.88112 19.3784 51.60384
11.09007 19.56026 51.12406
11.29551 16.85556 59.32759
11.50223 16.81667 59.46481
11.71053 16.90681 59.14776
11.91833 19.6199 50.96865
12.12548 19.78705 50.5381
12.33045 19.07595 52.42203
12.53748 19.29776 51.81948
12.74364 16.947 59.0075
12.94977 19.20067 52.08152
13.15435 16.7532 59.69009
13.36255 20.44798 48.90459
13.5667 16.78326 59.58317
13.77334 19.32537 51.74544
13.9782 20.00152 49.99619
14.18314 16.76247 59.65706
14.38901 18.31539 54.5989
14.59296 18.79928 53.19353
14.79422 16.66698 59.99887
15.00173 19.73594 50.66899
15.20635 19.14784 52.22522
15.41343 18.59682 53.77262
15.61875 16.8645 59.29616
15.82732 16.79056 59.55728
16.03035 16.75511 59.68327
16.23447 16.71452 59.82824
16.45107 16.72787 59.78047
16.65319 18.44052 54.2284
16.86985 16.67893 59.95587
17.07414 17.12753 58.38554
17.27779 19.30142 51.80967
17.48212 18.99837 52.63609
17.68535 18.93019 52.82568
17.88646 16.71563 59.82426
18.09439 19.73578 50.66938
18.29798 19.35012 51.67926
18.50246 16.84764 59.3555
18.70278 16.83144 59.41263
18.90281 16.70735 59.8539
19.10667 16.67584 59.96699
19.32566 19.10211 52.35024
19.52699 16.97127 58.92311
19.73437 19.70532 50.74772
19.93483 16.74822 59.70783
20.13857 17.32175 57.73088
20.33973 16.79077 59.55655
20.5426 17.06302 58.60629
20.7586 16.73726 59.74693
20.95863 16.68641 59.929
21.15878 16.82609 59.4315
21.37882 20.20054 49.50363
21.59738 18.62064 53.70383
21.81382 18.4761 54.12396
22.03081 20.15132 49.62455
22.24697 17.1839 58.194
22.45916 16.70065 59.8779
22.66319 16.91737 59.11084
22.86842 16.71842 59.81427
23.06968 19.24598 51.9589
23.27026 19.02797 52.55421
23.47512 17.21184 58.09954
23.67975 17.28222 57.86293
23.89071 20.21865 49.45929
24.09424 19.10172 52.35131
24.29823 19.96579 50.08567
24.50709 19.41382 51.50971
24.71129 16.75582 59.68075
24.91528 16.75126 59.697
25.12377 21.02739 47.55703
25.32582 19.66678 50.84716
25.52982 19.58714 51.05391
25.73485 16.85262 59.33796
25.94299 20.21661 49.46428
26.14628 19.31937 51.76151
26.35095 16.87513 59.25882
26.55766 18.54599 53.92001
26.76597 19.0195 52.57761
26.97317 18.583 53.81263
27.18272 19.63247 50.93602
27.39043 20.65507 48.41427
27.5943 20.75382 48.18389
27.80168 19.85215 50.37238
28.01121 17.1507 58.30664
28.22991 27.87308 35.87691
28.44226 20.2527 49.37612
28.64957 18.45408 54.18855
28.85682 18.97846 52.69131
29.06959 19.52765 51.20943
29.2776 18.83752 53.08553
29.48572 18.90727 52.88971
29.69745 19.3785 51.60358
29.90694 19.56707 51.10628
30.11753 19.30754 51.79324
30.32757 21.00274 47.61283
30.53738 18.6214 53.70166
30.74627 20.29042 49.28434
30.95787 19.5607 51.12293
31.16884 18.77798 53.25386
31.37831 19.74998 50.63297
31.58997 18.8273 53.11438
31.80104 19.01826 52.58105
32.00986 20.11441 49.71561
32.21799 19.13192 52.26868
32.43002 20.21355 49.47176
32.64527 18.96679 52.72375
32.85796 19.68971 50.78796
33.07377 20.00843 49.97894
33.28767 21.90043 45.66121
33.498 19.65679 50.873
33.71421 19.55545 51.13664
33.92957 18.43623 54.24103
34.14162 19.0375 52.52792
34.34285 21.14975 47.28187
34.55364 19.53407 51.19259
34.7657 19.66226 50.85885
34.98217 21.2178 47.13023
35.19449 19.30904 51.78922
35.40978 20.71654 48.27061
35.62618 21.17601 47.22324
35.82634 20.06545 49.83689
36.03461 17.55595 56.96074
36.25445 20.83989 47.9849
36.45473 20.52236 48.72734
36.67367 20.8311 48.00515
36.87451 20.46658 48.86013
37.09362 19.3363 51.71621
37.29383 19.76582 50.59238
37.49453 19.72938 50.68584
37.69529 21.24019 47.08055
37.91395 20.68406 48.34641
38.1298 19.92019 50.20031
38.34635 19.26629 51.90412
38.55033 20.10377 49.74192
38.77029 21.3427 46.85442
38.97098 21.20112 47.16731
39.18977 19.41931 51.49513
39.39077 21.4529 46.61374
39.60595 20.45632 48.88464
39.82185 20.13334 49.66885
40.02268 21.11445 47.36093
40.23498 20.34354 49.15566
40.44997 19.66954 50.84002
40.6744 33.36541 29.97116
40.89099 16.72665 59.78483
41.10602 19.14001 52.24656
41.32228 16.66735 59.99752
41.54186 19.94016 50.15005
41.76137 20.31657 49.22091
41.97887 20.55564 48.64844
42.19822 20.60979 48.52063
42.41838 20.42928 48.94936
42.61898 21.1004 47.39248
42.82123 20.02916 49.92721
43.02224 19.16487 52.17881
43.22623 19.63126 50.93917
43.42701 20.95898 47.71224
43.64641 20.83461 47.99707
43.8496 19.6734 50.83005
44.0505 20.28022 49.30913
44.25063 19.30219 51.80758
44.46928 20.14932 49.62947
44.68589 16.78085 59.59174
44.90573 20.18437 49.54329
45.12126 19.63201 50.93721
45.33926 21.48654 46.54077
45.55376 19.15097 52.21667
45.75385 20.39172 49.03951
45.9737 20.19192 49.52477
46.18982 19.56256 51.11804
46.39006 19.34938 51.68126
46.59048 20.52232 48.72742
46.81024 19.85745 50.35894
47.02296 32.45781 30.80923
47.23885 20.72553 48.24966
47.4544 17.08196 58.54129
47.67326 19.85112 50.37498
47.89037 20.05234 49.8695
48.10978 19.57522 51.08501
48.3254 19.59599 51.03085
48.54164 18.20624 54.92623
48.74186 19.67317 50.83064
48.94188 19.47396 51.35061
49.14373 22.70868 44.03603
49.36222 19.61228 50.98847
49.58176 19.91146 50.22233
49.78328 20.8466 47.96944
49.9854 17.89909 55.86875
50.19753 19.50812 51.26071
50.40104 17.40466 57.45587
50.61082 21.19218 47.18721
50.81818 23.31293 42.89465
51.02212 20.16268 49.59658
51.22641 20.25691 49.36586
51.43459 21.4848 46.54453
51.65393 19.59504 51.03332
51.86206 20.38292 49.0607
52.07036 18.71671 53.42818
52.27762 19.13375 52.26367
52.48266 20.96912 47.68916
52.69004 19.86387 50.34267
52.89471 21.31455 46.91631
53.10171 18.6503 53.61844
53.31079 20.03064 49.92351
53.51326 22.58902 44.26929
53.72187 20.29941 49.26252
53.9301 18.89038 52.937
54.1376 19.23098 51.99944
54.34313 21.98324 45.4892
54.54617 19.80306 50.49726
54.74992 17.8363 56.06543
54.95377 20.07336 49.81726
55.15508 21.13828 47.30754
55.37515 21.6859 46.1129
55.5937 19.73924 50.66051
55.79445 20.23273 49.42485
56.01088 20.99473 47.631
56.22484 18.65904 53.59332
56.44191 19.30624 51.79671
56.64194 20.16631 49.58765
56.85799 20.31685 49.22022
57.07391 19.86563 50.3382
57.29016 19.2228 52.02157
57.50626 20.47813 48.83258
57.72546 19.94916 50.12743
57.94169 20.42235 48.96595
58.15381 16.85246 59.33852
58.36245 19.66409 50.85413
58.58178 20.04916 49.8774
58.79815 20.04629 49.88454
59.01457 17.47515 57.22412
59.21774 19.86456 50.34092
59.43447 16.82579 59.43259
59.65405 19.71331 50.72714
59.86619 20.54141 48.68216
60.06635 19.84441 50.39203
60.28553 19.43518 51.45309
60.48608 18.60753 53.74167
60.68641 19.73234 50.67824
60.8892 19.19814 52.08838
61.09045 20.33172 49.18422
61.3107 20.94677 47.74005
61.51701 19.54317 51.16877
61.71865 20.57454 48.60375
61.92597 20.91365 47.81566
62.12972 19.98034 50.0492
62.33025 21.43566 46.65123
62.53739 19.37795 51.60503
62.74244 19.88481 50.28964
62.95044 20.2778 49.31502
63.15888 20.96369 47.70152
63.36695 20.63385 48.46405
63.57907 21.55217 46.39904
63.78109 18.72072 53.41676
63.99078 19.78923 50.53253
64.2028 21.03291 47.54455
64.41611 22.74511 43.96549
64.62562 19.37439 51.61454
64.83879 20.11137 49.72311
65.05016 19.56414 51.11391
65.2658 23.51468 42.52662
65.47527 20.53756 48.69128
65.68708 19.8473 50.38469
65.89042 23.22246 43.06177
66.11028 21.07723 47.44456
66.32589 19.92524 50.1876
66.53927 20.69456 48.32187
66.75388 19.45126 51.41054
66.96676 20.64197 48.44498
67.17144 22.004 45.44629
67.37858 20.40977 48.99615
67.58173 19.53315 51.19501
67.79015 19.98121 50.04701
67.99481 20.18877 49.53249
68.1981 20.24932 49.38437
68.40157 19.80559 50.49079
68.60558 19.74579 50.6437
68.81129 21.29385 46.96191
69.03059 20.50963 48.75758
69.2337 20.37892 49.07032
69.43467 20.92666 47.78593
69.63748 19.36822 51.63097
69.85388 19.92153 50.19695
70.07036 16.66719 59.99811
70.28899 19.28138 51.8635
70.5014 18.74257 53.35446
70.71896 20.91743 47.80701
70.93339 18.54409 53.92554
71.14645 17.00789 58.79625
71.3653 18.94156 52.79396
71.57819 16.90028 59.17063
71.79428 19.68686 50.79531
72.00685 16.77631 59.60786
72.22249 20.24198 49.40229
72.44267 21.15516 47.26981
72.66183 19.54569 51.16217
72.87362 19.54912 51.15319
73.07462 20.49485 48.79274
73.29391 19.57103 51.09592
73.5138 20.14681 49.63564
73.71385 20.14362 49.64351
73.91411 19.57933 51.07428
74.12984 16.70301 59.86943
74.33098 20.64953 48.42726
74.53181 20.24115 49.4043
74.75044 20.26344 49.34995
74.95195 21.28636 46.97844
75.16727 20.99428 47.63202
75.38144 19.81237 50.47352
75.59406 20.13401 49.6672
75.80918 18.25076 54.79224
76.02261 20.04306 49.89258
76.23743 19.90296 50.24379
76.45435 21.07679 47.44556
76.67361 19.89108 50.27379
76.87372 20.023 49.94257
77.07757 19.38872 51.57637
77.29829 20.79714 48.08353
77.50124 19.10884 52.33179
77.70657 20.44664 48.90778
77.90948 19.26775 51.9002
78.1137 19.00023 52.63094
78.3187 21.21461 47.13732
78.52769 20.94901 47.73495
78.73727 20.0166 49.95855
78.94207 19.34841 51.68384
79.14691 36.88091 27.1143
79.35918 20.22386 49.44654
79.56536 19.11597 52.31229
79.77457 20.95818 47.71407
79.97694 18.5957 53.77587
80.18707 19.99946 50.00135
80.39737 20.01762 49.95598
80.60178 19.43149 51.46287
80.80204 16.90409 59.15726
81.00628 20.74729 48.19908
81.22578 19.71879 50.71305
81.43047 20.28801 49.2902
81.6339 20.17374 49.56939
81.85393 20.17189 49.57394
82.05396 19.54202 51.17178
82.2733 20.06533 49.83721
82.49308 20.16134 49.59988
82.69824 20.94106 47.75307
82.90234 20.01154 49.97118
83.10623 20.3126 49.23052
83.32588 19.65281 50.88331
83.52955 20.00168 49.9958
83.74109 22.62886 44.19135
83.95728 19.0763 52.42107
84.16527 20.11017 49.72609
84.3699 19.87866 50.3052
84.57852 20.86594 47.925
84.78204 20.4053 49.00688
84.99397 20.50324 48.77279
85.20106 18.99995 52.63172
85.411 22.64038 44.16886
85.62263 20.93484 47.76725
85.83381 20.1726 49.57219
86.04677 20.08112 49.79801
86.26141 21.66896 46.14897
86.47301 22.56231 44.3217
86.67436 19.47253 51.3544
86.88325 21.51775 46.47325
87.08612 20.06871 49.82881
87.28632 19.94411 50.14011
87.50598 19.77286 50.57438
87.70971 19.21324 52.04745
