# time dt fps
43.7138 16.87194 59.27
43.9209 16.78479 59.57776
44.12886 16.73563 59.75275
44.3381 16.68417 59.93707
44.5476 18.58964 53.79339
44.75295 16.7272 59.78288
44.9619 16.90244 59.16304
45.17268 16.78631 59.57235
45.38057 16.66676 59.99966
45.58995 16.87389 59.26316
45.79639 16.71848 59.81405
46.00806 16.71943 59.81065
46.21471 16.93722 59.04155
46.42059 16.74588 59.71618
46.62907 16.69876 59.88468
46.83389 16.78822 59.56557
47.04284 16.67845 59.95761
47.24842 16.73742 59.74636
47.45577 16.69712 59.89056
47.66591 16.80649 59.50082
47.87227 18.12701 55.1663
48.07732 16.75144 59.69636
48.28702 16.80728 59.49803
48.49317 16.78729 59.56887
48.70222 16.72492 59.79103
48.90804 16.66131 60.01929
49.11718 16.7245 59.79251
49.32555 16.788 59.56637
49.5319 16.80831 59.49437
49.73994 16.70013 59.87976
49.94587 16.82625 59.43094
50.15247 16.67933 59.95443
50.36024 16.68356 59.93926
50.56546 16.69896 59.88398
50.77148 16.66098 60.02048
50.9775 16.85097 59.34377
51.18422 17.49416 57.16195
51.38803 16.66982 59.98866
51.59556 16.67212 59.98037
51.80458 20.84258 47.97869
52.01142 16.67402 59.97353
52.21735 16.69909 59.88349
52.42559 16.69949 59.88206
52.6322 16.68042 59.95054
52.83946 16.87079 59.27403
53.04069 16.69625 59.89371
53.24322 17.06184 58.61031
53.44714 16.78152 59.58937
53.65261 16.65994 60.02421
53.85686 16.8326 59.40852
54.05987 17.07623 58.56092
54.26321 16.9034 59.15969
54.46802 17.11121 58.44122
54.67291 16.70059 59.87813
54.8773 16.78441 59.57911
55.08234 16.6922 59.90824
55.28706 16.94677 59.00831
55.49166 16.66984 59.98857
55.69637 16.78402 59.58047
55.90066 16.67252 59.97892
56.1054 16.73585 59.75197
56.31089 16.67337 59.97588
56.5169 16.81245 59.47974
56.71984 16.66132 60.01926
56.92305 16.89067 59.20427
57.12825 16.78535 59.57576
57.33241 16.89214 59.19912
57.53669 16.66746 59.99715
57.74206 16.85806 59.31879
57.94359 16.66459 60.00747
58.14914 16.80474 59.50703
58.35179 16.77185 59.62373
58.5573 16.78741 59.56847
58.7728 18.59288 53.78402
58.97744 16.88294 59.2314
59.18308 16.66096 60.02055
59.38739 16.70563 59.86008
59.59108 16.99748 58.83223
59.79618 16.87358 59.26424
60.00013 16.72539 59.78933
60.20329 16.66937 59.99027
60.40553 16.82242 59.44448
60.6101 16.93054 59.06485
60.81258 16.76957 59.63181
61.0176 16.67601 59.96639
61.22008 16.66952 59.98972
61.42257 16.73715 59.74731
61.62739 17.08373 58.53522
61.83086 17.00187 58.81705
62.03331 16.87468 59.26038
62.23574 17.09311 58.50309
62.43958 18.36735 54.44445
62.64218 16.87543 59.25777
62.84604 16.88934 59.20895
63.04958 16.88346 59.22958
63.25139 16.73498 59.75508
63.45401 16.85101 59.34362
63.65618 16.74683 59.71279
63.85964 16.78104 59.59105
64.07996 35.00591 28.56661
64.28306 16.66802 59.99514
64.48753 16.68561 59.93187
64.69033 16.85392 59.33339
64.89419 16.80151 59.51847
65.09735 16.66498 60.00606
65.31255 20.11383 49.71702
65.51817 19.7837 50.54667
65.73122 17.01244 58.78051
65.94425 17.94936 55.7123
66.15839 17.89608 55.87816
66.37429 16.68318 59.9406
66.57652 17.02257 58.74554
66.7818 18.42944 54.26101
66.98544 17.68783 56.53605
67.19115 16.7467 59.71326
67.39529 16.6618 60.01752
67.60144 16.66349 60.01143
67.80547 16.63744 60.10542
68.01387 16.66576 60.00325
68.21714 16.81979 59.45377
68.42194 16.82355 59.44048
68.62431 17.33412 57.68969
68.82721 16.75861 59.67083
69.04037 16.68693 59.92714
69.25191 17.51184 57.10422
69.45357 16.86222 59.30416
69.66063 16.67026 59.98706
69.86581 16.79112 59.55527
70.07332 16.87113 59.27285
70.28075 16.79767 59.53207
70.48509 16.74844 59.70706
70.69318 16.78341 59.58265
70.89429 16.87573 59.25668
71.09725 16.94111 59.02802
71.30393 16.66499 60.00605
71.50723 18.37983 54.40747
71.70915 16.78119 59.59053
71.91573 17.6665 56.60429
72.11952 17.44856 57.31131
72.32339 16.66559 60.00386
72.52792 16.69234 59.90772
72.73158 17.9618 55.67371
72.93417 17.0191 58.75752
73.13773 16.8261 59.43147
73.34387 17.64468 56.6743
73.54708 17.3993 57.47358
73.75009 16.97955 58.89437
73.95477 17.7535 56.32691
74.15939 16.69227 59.90799
74.37601 17.91778 55.81048
74.58054 16.76488 59.64852
74.78422 16.72525 59.78985
74.98659 16.99287 58.84821
75.20236 16.86116 59.3079
75.40693 17.67495 56.57724
75.6095 16.78303 59.58401
75.81427 17.02654 58.73184
76.01805 16.7956 59.53938
76.22443 16.70508 59.86202
76.42896 16.93527 59.04836
76.63445 16.98309 58.88211
76.83893 17.01352 58.7768
77.04352 17.07194 58.57566
77.24648 17.06399 58.60295
77.44913 16.76171 59.65977
77.65261 16.89046 59.20503
77.8606 16.82265 59.44368
78.07137 17.03768 58.69342
78.2737 16.73938 59.73937
78.48729 17.07992 58.54827
78.69342 16.66882 59.99224
78.90391 17.47674 57.21892
79.1195 16.66298 60.01326
79.32615 16.73344 59.76058
79.53288 16.70181 59.87376
79.73867 16.66365 60.01087
79.94562 16.66468 60.00715
80.15177 17.33339 57.69212
80.36231 17.02827 58.72588
80.57134 17.06414 58.60241
80.77946 17.07399 58.56861
80.98454 16.66971 59.98906
81.19241 17.62997 56.72161
81.39826 16.85787 59.31947
81.60867 17.06369 58.60397
81.81378 16.76116 59.66175
82.01787 16.81735 59.46239
82.22511 16.86454 59.29603
82.42984 16.79553 59.53966
82.6355 16.65452 60.04376
82.8394 17.04761 58.65924
83.04494 17.98103 55.61416
83.24984 16.72776 59.78086
83.45336 16.72653 59.78527
83.66134 16.67006 59.98777
83.86906 16.66481 60.00668
84.08017 16.88395 59.22784
84.28564 18.11937 55.18955
84.50018 16.88357 59.22916
84.7076 16.69912 59.88339
84.91581 18.69304 53.49583
85.12415 16.7724 59.62177
85.33164 18.61275 53.72661
85.54106 18.07978 55.31041
85.74911 18.13411 55.14469
85.96111 16.80573 59.50351
86.17355 35.02711 28.54931
86.38978 17.09248 58.50525
86.60264 16.84264 59.37312
86.81214 17.73665 56.38043
87.02302 18.21686 54.89421
87.23358 16.77358 59.61758
87.44523 17.42661 57.38351
87.65738 16.82293 59.44268
87.87224 16.6737 59.97469
88.08508 18.10771 55.22509
88.29966 18.83149 53.10255
88.51317 16.75957 59.66741
88.72539 19.49457 51.29632
88.93299 16.74582 59.71641
89.13462 18.07353 55.32952
89.35129 17.41212 57.43125
89.55152 18.82406 53.1235
89.76447 16.82098 59.44958
89.97789 16.96483 58.94548
90.19115 17.6216 56.74854
90.40297 18.20115 54.94158
90.61708 16.98264 58.88367
90.82948 16.67005 59.98781
91.04465 16.90288 59.16152
91.25539 17.69101 56.52588
91.46982 16.78767 59.56752
91.68074 16.71343 59.83211
91.89615 36.34979 27.51048
92.10906 16.79655 59.53604
92.32287 18.96858 52.71875
92.53261 17.18767 58.18126
92.74657 16.95607 58.97593
92.95905 16.97864 58.89753
93.17292 16.69554 59.89623
93.39121 18.52627 53.9774
93.60452 19.13293 52.26591
93.81748 17.59872 56.82231
94.0318 19.40578 51.53103
94.24395 20.2309 49.42933
94.45544 19.93762 50.15645
94.6689 19.96802 50.08009
94.87975 18.33617 54.53702
95.0935 17.80559 56.16215
95.30892 19.67473 50.82662
95.5237 19.87134 50.32374
95.73566 18.57745 53.82871
95.94885 20.23252 49.42539
96.17141 34.92871 28.62974
96.38468 16.71194 59.83744
96.60111 16.68863 59.92105
96.80505 22.04843 45.3547
97.02184 18.35055 54.49429
97.23841 20.20394 49.4953
97.44138 20.08387 49.79119
97.65779 24.26554 41.2107
97.87301 20.9382 47.75961
98.09029 28.43027 35.17377
98.30714 21.11267 47.36493
98.52097 16.74136 59.7323
98.72705 21.53297 46.44041
98.92937 21.6764 46.13311
99.14841 20.43132 48.94445
99.363 18.89643 52.92005
99.56876 17.17707 58.21715
99.77227 16.67405 59.97344
99.9848 16.69369 59.90289
100.1921 18.51167 54.01998
100.3979 17.47602 57.22126
100.6046 18.26364 54.75359
100.8091 17.70674 56.47567
101.0156 17.56164 56.94228
101.2205 18.4679 54.14801
101.4271 18.9418 52.79328
101.6312 17.63367 56.70971
101.8363 16.8033 59.51211
102.0363 17.98742 55.5944
102.2404 17.0608 58.61388
102.4498 16.85238 59.3388
102.6565 16.68229 59.9438
102.8702 16.85138 59.34232
103.0867 16.8931 59.19576
103.2975 16.71186 59.83773
103.4993 32.10957 31.14336
103.7086 16.80833 59.4943
103.9124 16.76837 59.63608
104.1232 16.9584 58.96783
104.33 16.84277 59.37266
104.5347 16.72801 59.77998
104.7399 17.49473 57.16008
104.9462 16.70391 59.86622
105.152 16.66208 60.01654
105.3587 16.67612 59.96598
105.5684 16.66362 60.01096
105.776 16.84262 59.37317
105.9808 16.74583 59.71637
106.188 16.81179 59.48206
106.3946 16.89271 59.19714
106.5994 17.0063 58.80174
106.8089 16.80568 59.50369
107.016 16.78252 59.58579
107.2227 16.90117 59.16748
107.4283 17.12734 58.38619
107.634 16.67246 59.97914
107.8423 16.81282 59.47842
108.0555 19.54961 51.15192
108.2612 16.67101 59.98436
108.4768 17.21591 58.08582
108.6855 20.16929 49.58032
108.8935 17.42403 57.39201
109.1041 19.43595 51.45106
109.3099 18.12488 55.17277
109.515 18.34919 54.49833
109.7193 18.56224 53.87281
109.9242 17.88224 55.92141
110.1316 19.33215 51.72731
110.3363 18.16829 55.04094
110.5402 16.67032 59.98686
110.7477 18.5746 53.83697
110.9522 19.41844 51.49744
111.168 20.11221 49.72104
111.3765 19.41782 51.4991
111.5825 18.39751 54.35519
111.7926 19.9726 50.0686
112.0004 18.90388 52.89919
112.2087 18.47863 54.11657
112.4161 18.36044 54.46492
112.6244 19.23755 51.98168
112.8318 19.59565 51.03174
113.037 19.5591 51.1271
113.2501 21.75396 45.96864
113.4621 20.39981 49.02007
113.6725 18.62348 53.69566
113.8796 17.90691 55.84437
114.0884 18.48319 54.10321
114.2955 19.81846 50.45801
114.5052 16.81452 59.4724
114.7213 17.47934 57.21041
114.9287 17.72572 56.41521
115.1363 16.67852 59.95737
115.3459 17.95726 55.68779
115.5533 18.13711 55.13558
115.7605 18.8744 52.98182
115.9686 19.22278 52.0216
116.1794 19.70597 50.74606
116.3876 18.81589 53.14658
116.5922 17.14139 58.33833
116.8003 19.55201 51.14563
117.0081 18.56564 53.86295
117.2164 19.40464 51.53407
117.4248 18.6381 53.65354
117.6361 17.89176 55.89165
117.8482 18.471 54.13891
118.0589 18.4496 54.20171
118.2676 18.32316 54.57573
118.4763 17.59888 56.82181
118.6782 21.10804 47.37532
118.8815 17.97122 55.64453
119.0885 16.79198 59.55223
119.2946 18.80153 53.18715
119.5001 19.07679 52.41971
119.7108 24.41373 40.96055
119.9195 16.74326 59.72552
120.1261 16.93511 59.04892
120.3381 17.81666 56.12724
120.5456 16.81697 59.46375
120.7562 20.21166 49.4764
120.9619 16.84408 59.36804
