# time dt fps
0.22 100 10
0.4661362 58.65852 17.04782
0.6983199 64.81321 15.42895
0.9137889 52.20935 19.15366
1.134948 52.40378 19.08259
1.345982 28.61518 34.94649
1.553023 17.37538 57.55271
1.754245 16.8246 59.43677
1.956227 17.0206 58.75233
2.159181 16.80039 59.52241
2.360565 17.01678 58.76551
2.563471 16.92927 59.06928
2.766677 16.8123 59.48026
2.969575 16.78938 59.56148
3.173993 17.99995 55.55572
3.37852 16.66682 59.99945
3.586355 16.84746 59.35612
3.793966 20.05055 49.87395
3.999004 16.89627 59.18466
4.201945 16.76397 59.65175
4.415416 16.68699 59.92691
4.618418 16.66314 60.01271
4.821359 16.85517 59.32899
5.024024 16.73731 59.74677
5.228218 16.85736 59.32126
5.43154 16.97074 58.92494
5.63634 16.94796 59.00416
5.839696 16.75201 59.69434
6.045459 19.00894 52.60683
6.248129 17.15215 58.30172
6.453509 17.06513 58.59904
6.65587 16.98592 58.8723
6.861432 17.12578 58.39149
7.064343 16.89232 59.19849
7.267638 16.79083 59.55632
7.470347 16.69563 59.8959
7.674001 17.22995 58.03847
7.876191 16.6669 59.99915
8.080845 16.89483 59.18969
8.283139 16.8428 59.37253
8.486238 16.7532 59.6901
8.688768 16.87466 59.26044
8.890749 16.87664 59.2535
9.092554 17.05088 58.64798
9.297328 17.2508 57.96834
9.503247 16.85759 59.32046
9.709617 16.82847 59.42312
9.916932 17.1183 58.417
10.11888 16.89854 59.17671
10.32274 16.78881 59.56348
10.52498 16.95097 58.99366
10.72761 17.03495 58.70284
10.93226 16.8645 59.29615
11.13775 16.70363 59.86721
11.34151 16.66644 60.00082
11.54709 16.94303 59.02133
11.75267 17.05859 58.62148
11.95698 17.17467 58.22528
12.15923 16.78577 59.57425
12.36261 17.00782 58.79648
12.5665 16.66573 60.00336
12.7749 16.74991 59.70182
12.98007 16.67994 59.95224
13.18342 16.98717 58.86795
13.38565 16.73246 59.76408
13.58946 17.185 58.19028
13.79219 16.69451 59.89993
13.99561 16.72375 59.79522
14.19746 16.66645 60.00077
14.40025 16.81896 59.45672
14.60562 16.82009 59.4527
14.80991 16.81168 59.48247
15.01452 19.00051 52.63015
15.22669 16.85887 59.31596
