# time dt fps
0.22 100 10
0.461044 70.94035 14.09635
0.6713048 68.90184 14.5134
0.8851225 64.56009 15.48945
1.114368 68.64594 14.5675
1.322677 20.1372 49.65934
1.542426 20.96978 47.68766
1.761636 19.28582 51.85155
1.979014 18.70097 53.47317
2.196091 18.46688 54.151
2.412494 19.39415 51.56194
2.629555 19.38657 51.58211
2.846027 16.7141 59.82973
3.049731 16.72969 59.77397
3.26779 18.22357 54.87398
3.485006 19.27664 51.87627
3.700653 19.36825 51.63089
3.913662 16.61844 60.17413
4.115235 16.92013 59.10119
4.331918 18.68394 53.5219
4.548277 18.95463 52.75756
4.765106 19.50303 51.27407
4.974081 18.52686 53.97568
5.174686 16.88181 59.23537
5.390306 17.95441 55.69661
5.608126 18.03852 55.43692
5.808957 18.75439 53.32085
6.02428 18.03456 55.44909
6.224667 18.8641 53.01075
6.424758 19.60075 51.01846
6.641436 16.75311 59.69041
6.841665 16.68215 59.94431
7.049682 19.37659 51.60868
7.252889 20.16644 49.58733
7.468078 17.93369 55.76096
7.669756 19.56766 51.10472
7.874321 21.92331 45.61354
8.081887 18.5712 53.84683
8.291954 18.3839 54.39541
8.501867 19.62975 50.94308
8.711747 21.35226 46.83344
8.92138 18.128 55.1633
9.13028 20.38572 49.05396
9.338523 18.3803 54.40606
9.539863 17.34537 57.65229
9.75862 20.48329 48.82027
9.974618 21.57522 46.34948
10.18129 19.28229 51.86107
10.388 22.1631 45.12004
10.59877 18.49527 54.06789
10.80568 18.43878 54.23352
11.01125 24.09107 41.50916
11.21479 16.6674 59.99736
11.42254 22.51836 44.4082
11.63892 16.67513 59.96953
11.85056 19.26065 51.91932
12.06331 20.4403 48.92296
12.27327 19.05134 52.48976
12.47869 16.93083 59.06384
12.68633 16.67561 59.96783
12.89128 17.73232 56.3942
13.09981 20.44413 48.91379
13.30802 20.40417 49.00959
13.52306 20.38673 49.05152
13.73103 20.1662 49.58792
13.93841 17.78934 56.21344
14.14939 19.06989 52.43868
14.35822 19.99303 50.01743
14.56602 18.63416 53.66489
14.76964 18.77678 53.25728
14.97549 21.7301 46.01911
15.19016 18.36619 54.44788
15.40139 16.77295 59.61982
15.60917 16.80493 59.50634
15.82433 17.70064 56.49514
16.03713 18.46443 54.1582
16.24874 16.76409 59.65131
16.46092 18.61387 53.72338
16.67214 18.2248 54.87029
16.88177 17.24444 57.98971
17.09046 16.66372 60.01061
17.29483 16.67553 59.96812
17.50538 16.75053 59.69959
17.71585 17.34863 57.64145
17.9286 17.89796 55.87228
18.13801 16.85476 59.33041
18.34678 16.80346 59.51153
18.557 17.31797 57.74348
18.76565 16.67304 59.97706
18.97373 16.82856 59.4228
19.1848 18.45671 54.18082
19.39296 16.66908 59.99131
19.60064 17.07699 58.55832
19.8125 18.15219 55.08979
20.0211 16.69443 59.90022
20.23183 18.37509 54.42151
20.44634 16.70286 59.86998
20.65846 16.8473 59.35668
20.87324 18.82825 53.11168
21.08394 16.66652 60.00052
21.29804 16.67321 59.97645
21.5077 17.94933 55.71238
21.72271 16.90894 59.14031
21.93786 16.78238 59.58632
22.1527 18.62181 53.70048
22.36398 18.28588 54.687
22.58174 22.88911 43.6889
22.78829 19.38667 51.58183
23.00435 17.70058 56.49532
23.22034 18.76402 53.2935
23.43741 17.48124 57.20417
23.63762 16.67465 59.97126
23.84135 16.72721 59.78284
24.04475 20.4677 48.85748
24.24796 18.6687 53.56558
24.4536 17.15026 58.30815
24.66069 19.62843 50.94651
24.86117 16.72389 59.79471
25.06886 20.72685 48.2466
25.26979 16.6871 59.92655
25.47833 20.26874 49.33705
25.6896 20.29815 49.26558
25.90563 20.13164 49.67304
26.11096 20.98932 47.64326
26.32912 19.815 50.46682
26.54565 16.78431 59.57944
26.7615 19.48033 51.33383
26.96252 21.66895 46.14898
27.1771 17.39811 57.47751
27.38955 19.39229 51.5669
27.60606 20.24722 49.3895
27.82081 20.0773 49.80748
28.03347 17.49368 57.16351
28.24169 20.45484 48.88818
28.45636 19.29945 51.81495
28.66899 18.65702 53.59913
28.88465 16.69676 59.89185
29.0972 17.00453 58.80785
29.31261 20.20362 49.49607
29.5366 35.3117 28.31923
29.74945 19.1768 52.14634
29.95758 17.56054 56.94584
30.16046 18.9888 52.66262
30.36489 19.56607 51.10888
30.56911 19.01924 52.57834
30.77538 17.84908 56.0253
30.98165 17.03871 58.6899
31.19101 22.20726 45.03031
31.3996 18.64186 53.6427
31.60188 16.8198 59.45374
31.80981 16.73378 59.75935
32.01677 19.71184 50.73092
32.22424 19.70619 50.74547
32.42515 16.66323 60.01239
32.62857 19.30416 51.8023
32.83292 17.0934 58.50212
33.03346 17.59222 56.84331
33.2368 19.52957 51.2044
33.44057 19.95232 50.11948
33.64411 17.74612 56.35033
33.85265 19.84834 50.38205
34.0579 16.783 59.58412
34.26608 16.75051 59.69969
34.47312 16.68639 59.9291
34.68503 20.61084 48.51817
34.89273 18.14333 55.11668
35.09693 16.67141 59.98293
35.30961 16.9525 58.98835
35.51983 19.3037 51.80354
35.73326 19.77929 50.55794
35.94369 19.14024 52.24595
36.15659 18.82167 53.13025
36.36888 19.6303 50.94165
36.57762 19.58565 51.0578
36.78434 19.01338 52.59455
36.993 19.42084 51.49107
37.19617 18.53038 53.96542
37.40401 18.21131 54.91095
37.6092 16.86744 59.2858
37.81708 20.87889 47.89528
38.0255 16.78776 59.5672
38.23201 20.37268 49.08535
38.44065 19.38033 51.5987
38.64476 19.72623 50.69394
38.84862 18.68729 53.51232
39.05709 17.70001 56.49713
39.2686 16.95691 58.973
39.47731 19.71384 50.72577
39.68889 20.02527 49.93689
39.90503 18.57404 53.8386
40.11602 19.07121 52.43506
40.32832 19.66749 50.84533
40.54124 17.01104 58.78534
40.7524 19.16017 52.19159
40.96494 20.39469 49.03236
41.18055 18.18064 55.00358
41.39269 16.98794 58.86528
41.60473 16.80378 59.51044
41.82065 19.4957 51.29337
42.04008 19.92683 50.1836
42.25742 21.17745 47.22004
42.45774 19.56939 51.10022
42.67278 16.71107 59.84058
42.88874 16.70306 59.86926
43.10416 19.2417 51.97045
43.31651 16.76333 59.65402
43.53272 17.73712 56.37893
43.74429 19.91647 50.20971
43.9615 21.76558 45.9441
44.17329 19.79229 50.52473
44.38868 20.53948 48.68672
44.60127 20.61907 48.4988
44.81294 19.35342 51.67046
45.02401 19.55056 51.14944
45.2324 18.20385 54.93344
45.44456 19.17245 52.15817
45.65669 16.67989 59.95243
45.87239 19.8373 50.41009
46.08831 19.3616 51.64861
46.28901 19.0549 52.47995
46.50507 20.25324 49.37481
46.72147 17.75284 56.32902
46.92485 19.63852 50.92033
47.14433 19.80265 50.49829
47.35617 23.71354 42.17001
47.57344 18.4239 54.27732
47.79399 21.27811 46.99664
48.01649 22.87116 43.72319
48.21897 21.73634 46.00591
48.42177 20.41258 48.98939
48.63688 21.25045 47.05782
48.8701 36.68486 27.2592
49.09008 21.27211 47.00991
49.29736 22.0948 45.25953
49.51658 20.34912 49.14217
49.72958 18.04563 55.41509
49.94177 17.40722 57.44741
50.15321 16.67223 59.97998
50.36148 17.37516 57.55344
50.57366 16.73416 59.75801
50.78487 19.80478 50.49286
50.99766 17.60067 56.81601
51.21639 19.48775 51.31428
51.42788 19.49879 51.28525
51.64574 21.08037 47.43751
51.85598 19.04169 52.51634
52.07175 19.09875 52.35944
52.2885 18.95361 52.76039
52.50819 20.287 49.29266
52.72541 22.83508 43.79226
52.93232 19.51117 51.25269
53.14935 21.61871 46.25624
53.36454 20.98053 47.66323
53.56526 22.40462 44.63366
53.78454 20.63946 48.45088
54.00451 20.48674 48.81205
54.21187 17.66246 56.61725
54.4166 19.7036 50.75216
54.61704 17.1246 58.39552
54.82512 19.90441 50.24012
55.03262 18.26663 54.74463
55.23307 19.91166 50.22182
55.44196 19.78522 50.54279
55.64546 21.67651 46.13289
55.86544 21.7959 45.88018
56.06902 18.47069 54.13983
56.28122 19.52902 51.20584
56.49144 22.56201 44.32228
56.69705 20.70615 48.29483
56.90047 19.62119 50.96531
57.10088 19.10894 52.33152
57.31956 18.79779 53.19773
57.53745 20.27861 49.31303
57.75555 23.19174 43.11879
57.96838 18.22915 54.85721
58.17165 19.15417 52.20795
58.37273 19.43465 51.45448
58.58511 18.70567 53.45972
58.80058 19.36889 51.62919
59.00869 19.70191 50.7565
59.21714 16.6787 59.9567
59.42517 19.82251 50.44769
59.63367 16.85233 59.33897
59.84049 19.49664 51.2909
60.04925 17.24885 57.97489
60.25277 19.50054 51.28062
60.45806 16.82925 59.42035
60.66513 19.6921 50.7818
60.87252 19.46685 51.36938
61.07682 19.68962 50.78818
61.28219 16.79399 59.54512
61.48936 19.14428 52.23491
61.70064 19.76084 50.60513
61.90825 19.53771 51.18308
62.10899 19.95541 50.11173
62.32903 20.18972 49.53014
62.53674 19.34565 51.69121
62.73993 18.79842 53.19595
62.94554 16.66931 59.9905
63.15288 20.62534 48.48405
63.36099 18.14797 55.10259
63.56908 20.11351 49.71783
63.77795 16.79859 59.52882
63.98156 19.61322 50.98601
64.18566 16.70692 59.85543
64.39321 20.00202 49.99494
64.59741 16.75427 59.68627
64.80087 18.97432 52.7028
65.00734 19.34127 51.7029
65.213 19.38089 51.59721
65.41703 16.77541 59.61107
65.62125 16.67424 59.97276
65.82927 16.70958 59.84592
66.03771 17.39655 57.48266
66.23817 17.31004 57.76994
66.44088 16.94153 59.02654
66.6446 19.14108 52.24366
66.84905 17.3582 57.60967
67.05643 17.63585 56.7027
67.2647 21.04274 47.52233
67.47229 16.73849 59.74255
67.67981 19.25522 51.93396
67.89289 19.25323 51.93933
68.09298 19.90929 50.22782
68.30842 18.20986 54.91529
68.52 19.87189 50.32233
68.73266 19.24727 51.95543
68.94519 20.45784 48.88102
69.16064 19.18829 52.11512
69.37335 20.64974 48.42675
69.58813 19.66788 50.84433
69.80083 19.51748 51.23613
70.0163 22.83164 43.79886
70.22804 20.18343 49.5456
70.44143 21.116 47.35744
70.65828 24.2574 41.22453
70.87286 26.78409 37.3356
71.08078 20.43763 48.92934
71.29303 19.87502 50.31442
71.50471 20.41311 48.98812
71.71677 20.40891 48.99821
71.92812 19.93688 50.15829
72.14057 20.4957 48.79071
72.34922 19.8716 50.32308
72.56149 20.12171 49.69756
72.77228 18.85713 53.03034
72.98444 19.66393 50.85455
73.19591 19.75181 50.62827
73.41048 21.71637 46.04822
73.62526 20.8503 47.96094
73.83797 21.2303 47.1025
74.05312 22.02016 45.41293
74.25985 18.83654 53.0883
74.47274 20.07494 49.81335
74.68645 21.80996 45.85062
74.89223 19.22411 52.01801
75.10464 20.28664 49.29351
75.3165 18.88764 52.94467
75.5283 20.52607 48.71854
75.73251 19.61958 50.96949
75.94708 21.50961 46.49086
76.15707 19.65823 50.86929
76.36829 19.90522 50.23807
76.58057 19.75818 50.61195
76.78931 19.57411 51.08789
77.0023 21.86802 45.72887
77.21227 20.36413 49.10595
77.41987 19.5934 51.03759
77.63007 20.08192 49.79604
77.83975 18.53914 53.93993
78.05778 20.9692 47.68898
78.26965 19.37026 51.62552
78.48074 19.95555 50.11136
78.6879 19.77743 50.56269
78.90436 19.46997 51.36115
79.11898 22.36254 44.71764
79.33028 21.08762 47.42119
79.53664 19.80703 50.48712
79.74988 21.03974 47.5291
79.96115 20.57283 48.60781
80.17191 19.62 50.96841
80.38138 19.81276 50.47252
80.58461 19.05538 52.47862
80.80052 20.63901 48.45194
81.01706 20.67724 48.36235
81.22859 20.6974 48.31524
81.44415 20.04832 49.87949
81.6564 19.77397 50.57153
81.86811 19.15416 52.20797
82.07006 21.18585 47.20131
82.28601 17.69927 56.49952
82.5013 16.82845 59.42319
82.70657 25.40915 39.3559
82.916 19.91073 50.22417
83.1331 19.38619 51.5831
83.3446 19.35639 51.66253
83.55367 20.97546 47.67477
83.76472 23.45647 42.63216
83.97244 19.7294 50.68578
84.17978 18.52151 53.99128
84.39282 23.1725 43.15461
84.60038 18.93366 52.816
84.81245 20.11304 49.71898
85.02374 19.45961 51.38849
85.23252 19.99532 50.01171
85.44362 19.25162 51.94368
85.66025 23.54801 42.46643
85.86831 18.97904 52.6897
86.08047 19.3632 51.64437
86.29266 20.08917 49.77807
86.50498 19.90198 50.24625
86.71762 21.10809 47.37521
86.9287 18.91071 52.88009
87.14015 18.55524 53.89314
87.35529 17.98739 55.59449
87.57206 18.65181 53.61411
87.7925 22.97249 43.53033
88.00914 20.42674 48.95544
88.22243 20.5704 48.61353
88.43858 26.29096 38.03588
88.65332 23.84669 41.93454
88.87015 22.76854 43.92024
89.08588 25.08916 39.85784
89.29666 24.03385 41.60798
89.50119 20.00979 49.97553
89.70519 22.06274 45.32529
89.91071 19.70288 50.754
90.11219 17.88524 55.91203
90.32832 18.78525 53.23325
90.53689 20.68623 48.34133
90.74386 19.42173 51.48872
90.96055 16.78031 59.59366
91.17297 16.87425 59.26191
91.38146 16.68814 59.9228
91.58637 18.13397 55.14511
91.78851 19.96977 50.07569
92.00788 21.85357 45.75911
92.21278 19.19778 52.08934
92.43192 19.71717 50.71723
92.64851 17.18824 58.17933
92.84948 19.64001 50.91647
93.06567 16.66523 60.00517
93.26787 18.3133 54.60513
93.48499 17.42985 57.37285
93.7013 17.33869 57.67447
93.91653 16.63412 60.11738
94.11712 16.85906 59.31527
94.32126 17.40945 57.44007
94.52369 16.9669 58.93827
94.72781 18.09364 55.26804
94.93156 18.23045 54.85328
95.13965 19.03173 52.54383
95.34451 19.83585 50.41376
95.54755 18.07063 55.33841
95.75355 20.52193 48.72836
95.95943 19.19838 52.08773
96.16788 18.98602 52.67033
96.37689 19.2298 52.00263
96.58588 20.69795 48.31395
96.79237 19.47663 51.34358
97.00159 21.17272 47.2306
97.21181 19.56138 51.12115
97.42029 18.51954 53.99702
97.62495 20.09468 49.76441
97.83201 19.07768 52.41727
98.04071 20.43109 48.94501
98.24459 19.31258 51.77971
98.45251 19.6531 50.88255
98.65999 18.60485 53.74942
98.87206 19.51542 51.24153
99.08875 22.64535 44.15918
99.29961 22.31221 44.81851
99.50842 19.16413 52.18082
99.72417 19.87173 50.32274
99.93622 19.18841 52.11479
100.1537 21.57649 46.34674
100.3647 19.05475 52.48036
100.5765 20.16731 49.5852
100.7888 19.28533 51.85289
101.0044 19.97441 50.06406
101.2176 20.63572 48.45966
101.4289 19.97481 50.06305
101.6359 19.1769 52.14606
101.855 22.32958 44.78364
102.0679 19.30107 51.81061
102.2808 19.91094 50.22365
102.4929 19.66011 50.8644
102.7054 21.47861 46.55794
102.9166 20.37784 49.07291
103.1335 25.13307 39.78822
103.3446 16.68394 59.93786
103.5608 19.71762 50.71607
103.7719 18.5406 53.9357
103.9847 19.48021 51.33414
104.1968 19.977 50.05757
104.4088 16.77829 59.60081
104.6244 20.01156 49.97112
104.8331 16.7554 59.68226
105.0496 20.09356 49.76719
105.2645 19.58124 51.0693
105.4659 19.63201 50.93721
105.681 19.80983 50.48
105.8817 21.24725 47.06491
